,City,Latitude,Temperature (F),Humidity (%),Windspeed (mph),Cloudiness (%)
0,Butaritari,3.07,82.71,79,16.4,61
1,Saint-Augustin,51.23,20.05,88,24.23,100
2,Tete,-16.16,82.4,74,6.93,20
3,Cidreira,-30.18,76.33,79,19.08,0
4,Thunder Bay,48.4,33.37,80,9.17,90
5,Plavinas,56.62,37.9,74,14.97,100
6,Quatre Cocos,-20.21,77.85,94,6.93,75
7,East London,-33.02,73.4,88,13.87,75
8,Varlamovo,53.19,32.4,95,8.9,100
9,Barrow,71.29,-38.2,95,11.41,1
10,Lavrentiya,65.58,-21.08,91,13.22,0
11,Baft,29.23,36.37,78,7.87,0
12,Vila Franca do Campo,37.72,55.4,82,10.29,75
13,Bengkulu,-3.8,73.67,90,4.09,59
14,Sao Filipe,14.9,75.27,50,16.67,0
15,Griffith,41.53,51.76,53,18.34,1
16,Scarborough,54.28,46.87,81,13.87,43
17,Klaksvik,62.23,35.6,74,12.75,100
18,Ginda,30.69,36.45,42,5.35,0
19,Namatanai,-3.67,82.9,78,8.08,100
20,San Patricio,19.22,82.4,58,5.82,90
21,Boden,65.83,17.6,92,8.05,47
22,Jamestown,42.1,33.46,92,11.41,90
23,Magaria,13.0,72.1,10,9.33,68
24,Longyearbyen,78.22,17.6,85,18.34,90
25,Morro Bay,35.37,55.0,76,14.99,1
26,Ushuaia,-54.8,59.0,44,6.93,40
27,Mount Isa,-20.73,78.8,94,3.36,75
28,Bethel,41.37,41.04,55,5.82,75
29,Katsuura,35.13,45.68,61,8.05,75
30,Hobart,-42.88,45.3,71,10.29,90
31,Tasiilaq,65.61,26.6,63,4.7,100
32,Poum,-20.23,81.54,80,19.66,100
33,Petropavlovsk-Kamchatsky,53.05,-13.0,62,4.47,0
34,Atuona,-9.8,81.05,74,16.11,2
35,Wajima,37.4,46.42,68,16.78,100
36,Tessalit,20.2,75.74,8,6.67,0
37,Tuktoyaktuk,69.45,-25.6,67,10.29,75
38,Norman Wells,65.28,-29.2,73,3.36,75
39,Tataouine,32.93,60.8,51,2.24,0
40,Geraldton,-28.77,89.6,19,20.8,44
41,Hilo,19.73,69.03,73,3.91,90
42,Albany,42.6,34.41,69,4.7,90
43,Guerrero Negro,27.98,72.01,24,13.09,47
44,Sawai Madhopur,25.98,51.96,46,1.25,2
45,Rikitea,-23.12,79.48,77,16.15,100
46,Arkhara,49.42,-6.48,99,2.91,100
47,Bambous Virieux,-20.34,77.79,94,6.93,75
48,Cherskiy,68.75,-26.97,98,5.73,100
49,Oistins,13.07,84.2,58,14.99,20
50,Ahipara,-35.17,63.0,100,6.82,0
51,Thompson,55.74,5.0,71,4.7,90
52,Egvekinot,66.32,-27.4,95,12.28,0
53,Sinnamary,5.38,79.97,68,11.54,31
54,Portobelo,9.55,89.94,55,13.87,40
55,Sijunjung,-0.69,70.47,97,2.37,100
56,Mercedes,-34.65,94.26,39,3.0,0
57,Busselton,-33.65,60.35,41,18.99,0
58,Te Anau,-45.42,57.92,97,0.85,100
59,Campbell River,50.02,36.95,73,9.17,75
60,Mumbai,19.01,77.0,73,2.39,0
61,Comodoro Rivadavia,-45.87,71.6,26,19.46,68
62,Carnot,4.94,80.35,21,4.94,45
63,Bluff,-46.6,60.01,98,1.41,100
64,Cockburn Town,21.46,82.4,69,16.11,40
65,Port Blair,11.67,80.51,76,11.3,75
66,Upernavik,72.79,-26.52,91,6.04,0
67,Torbay,47.67,33.12,94,36.91,90
68,Phan Thiet,10.93,64.13,84,3.09,62
69,Qaanaaq,77.48,-24.52,58,2.37,85
70,Kulhudhuffushi,6.62,80.96,76,13.38,12
71,Goderich,43.75,34.43,95,1.99,100
72,Erzin,36.96,43.52,100,5.82,0
73,Rio Gallegos,-51.62,64.4,36,20.8,77
74,Vaini,-21.2,75.2,100,5.82,40
75,Dicabisagan,17.08,69.24,82,7.23,100
76,Provideniya,64.38,-18.81,88,15.52,11
77,Barabai,-2.58,73.92,96,1.16,100
78,Bukama,-9.2,68.11,99,2.55,100
79,Ribeira Grande,38.52,59.0,72,10.29,20
80,Carnarvon,-24.87,73.4,94,6.93,0
81,Dingle,11.0,68.18,89,9.06,50
82,Mweka,-4.85,72.43,87,1.39,93
83,Kodiak,57.79,32.0,89,18.34,90
84,Bani,18.28,85.82,66,9.17,40
85,Dikson,73.51,-18.9,82,14.25,0
86,Gurh,24.52,52.84,50,3.62,0
87,Port Alfred,-33.59,75.0,96,1.01,92
88,Bell Ville,-32.63,93.0,47,1.01,0
89,Punta Arenas,-53.15,50.54,76,9.17,75
90,Avanuorri,71.0,31.87,74,21.92,75
91,Cape Town,-33.93,70.02,94,16.11,75
92,Isla Vista,34.41,62.08,77,5.82,40
93,Udachny,66.42,-34.6,73,4.47,29
94,Chokurdakh,70.63,-29.72,93,9.06,18
95,Arraial do Cabo,-22.97,85.06,79,12.75,75
96,Voznesenye,61.01,35.53,94,7.09,100
97,Leshukonskoye,64.9,14.07,94,7.96,100
98,Hasaki,35.73,39.25,59,2.24,75
99,Mar del Plata,-38.0,76.1,69,18.34,40
100,Chibuto,-24.69,77.65,75,9.31,32
101,Charters Towers,-20.1,72.36,93,3.74,42
102,Republic of El Salvador,13.83,90.01,52,5.82,40
103,Cabo San Lucas,22.89,65.07,93,3.36,90
104,Lorengau,-2.02,83.77,80,14.36,73
105,Mahebourg,-20.41,77.76,94,6.93,75
106,Puerto Ayora,-0.74,82.36,70,16.11,20
107,New Norfolk,-42.78,45.16,71,10.29,90
108,Strood,51.4,51.71,81,16.11,20
109,Souillac,-20.52,77.74,94,6.93,75
110,Okhotsk,59.38,-10.39,51,1.54,93
111,Nikolskoye,59.7,38.8,93,6.71,90
112,Oranjemund,-28.55,64.74,89,11.52,21
113,Pangody,65.85,-2.02,95,13.33,96
114,Santa Maria del Oro,25.93,50.63,63,3.89,100
115,Kapaa,22.08,65.08,93,6.93,1
116,Dunedin,-45.87,61.05,75,4.05,57
117,Puerto del Rosario,28.5,67.8,77,8.05,0
118,Shache,38.42,24.87,64,0.65,63
119,Komsomolets,53.75,11.28,95,2.37,93
120,Champerico,14.3,89.6,55,9.17,20
121,Yate,51.54,50.99,81,14.99,75
122,Jacksonville,30.33,62.28,38,13.87,1
123,Tiksi,71.69,-26.12,90,6.2,51
124,Wanning,18.8,68.07,88,5.57,7
125,Kihei,20.79,71.53,73,8.05,40
126,Jiazi,22.88,53.06,80,4.25,0
127,Grigiskes,54.68,37.15,70,17.22,75
128,Sao Joao da Barra,-21.64,86.0,70,16.11,75
129,Kyzyl-Suu,42.34,23.29,52,7.29,18
130,Jardim,-21.48,81.99,74,5.19,100
131,Narsaq,60.92,1.4,54,4.7,0
132,Kununurra,-15.77,77.0,100,1.36,75
133,Khandyga,62.67,-28.48,92,1.59,14
134,Richards Bay,-28.78,78.94,82,16.78,0
135,Kashan,33.98,41.81,37,5.35,0
136,Saint George's,12.06,84.2,70,17.22,20
137,Husavik,66.04,3.2,84,2.24,100
138,Port Hardy,50.7,33.8,100,6.93,75
139,Damaturu,11.75,74.39,15,9.26,35
140,George Town,5.41,81.45,61,11.41,40
141,Raudeberg,61.99,33.53,66,6.93,40
142,Yellowknife,62.46,-21.66,74,10.29,20
143,Brandenburg,52.42,43.16,93,4.7,75
144,Inhambane,-23.86,82.4,83,6.93,40
145,Faya,18.39,56.26,87,5.82,92
146,Ostrovnoy,68.05,-0.2,95,15.26,92
147,Laguna,38.42,52.7,44,12.75,40
148,Mount Gambier,-37.83,57.2,76,12.75,99
149,Kachug,53.96,-17.72,93,3.85,100
150,Saint-Philippe,-21.36,74.34,88,21.92,20
151,Road Town,18.42,81.97,69,6.93,20
152,Beringovskiy,63.05,-24.45,99,28.68,100
153,Antofagasta,-23.65,72.61,56,13.87,20
154,Banikoara,11.3,79.27,7,5.26,67
155,Ancud,-41.87,62.6,59,17.22,75
156,Olinda,-8.01,86.0,70,10.29,40
157,Qui Nhon,13.77,62.28,94,3.96,4
158,Herat,34.5,39.2,93,5.82,75
159,Leningradskiy,69.38,-15.88,89,11.01,100
160,Omboue,-1.57,79.72,80,3.8,55
161,Moindou,-21.69,71.6,83,1.12,100
162,Mola di Bari,41.06,53.47,81,5.82,57
163,Castro,-24.79,73.56,94,1.92,85
164,Cururupu,-1.83,88.56,57,6.15,59
165,Beneditinos,-5.45,87.8,62,2.24,75
166,Gondanglegi,-7.75,73.44,94,2.39,100
167,Mitsamiouli,-11.38,78.8,88,3.36,20
168,Hermanus,-34.42,72.12,86,16.78,27
169,Veraval,20.9,64.33,61,1.81,50
170,Iquitos,-3.75,42.8,100,5.82,75
171,Numaligarh,26.63,56.98,83,3.85,30
172,The Valley,18.22,83.82,61,9.17,20
173,Bredasdorp,-34.53,72.09,83,6.93,6
174,Kerema,-7.96,75.43,87,2.21,100
175,Saquena,-4.67,77.49,93,2.77,93
176,Kavaratti,10.57,80.19,74,8.61,74
177,Tombouctou,20.0,73.74,7,6.67,0
178,Ust-Nera,64.57,-39.05,100,1.16,10
179,Kruisfontein,-34.0,72.72,91,10.83,82
180,Nantucket,41.28,39.33,60,9.17,90
181,Eureka,40.8,48.09,61,10.29,1
182,Lebu,-37.62,69.87,39,8.66,0
183,Coffs Harbour,-30.3,74.75,88,12.75,40
184,Vila Velha,-20.33,87.31,70,13.87,20
185,Brownsville,25.9,73.65,33,13.87,32
186,Carlos Chagas,-17.7,88.93,42,3.47,0
187,Ternate,0.8,74.17,93,3.2,20
188,Mataura,-46.19,60.01,98,3.42,100
189,Pevek,69.7,-18.56,98,5.21,100
